newtrans,location,days_before,days_after,transmonth,prevvisits,newvisits,lyprevvisits,lynewvisits,hotel_published_year,latitude,longitude,rating,num_amenities,ta,prev_oyster,new_oyster,price
4-full,Caribbean,90,360,52015,0,0,0,0,2012,20.743191,-105.29804,30,12,9715,59,46,41.4285
4-full,Caribbean,90,360,52015,0,0,0,0,2011,20.59852,-105.235988,30,16,30811,233,120,47.3725
4-full,Caribbean,90,360,52015,0,0,0,0,2011,22.895993,-109.905842,25,22,26216,10,23,59
4-full,Caribbean,90,360,52015,1,8,0,6,2012,21.16858,-86.824147,30,16,63306,517,397,60.2857
4-full,Las Vegas,90,360,52015,1,6,0,3,2009,36.113839,-115.15819,30,21,41642,260,311,61.2406
4-full,Las Vegas,90,360,52015,5,17,7,8,2009,36.169051,-115.138799,20,20,117128,1189,1543,61.331
3-partial,Las Vegas,90,368,52015,6,84,9,25,2013,36.137089,-115.16344,30,21,799124,4723,6636,65.9183
4-full,Las Vegas,90,360,52015,0,4,0,1,2009,36.083262,-115.029998,20,18,21850,85,107,67
4-full,Caribbean,90,360,52015,2,6,0,2,2011,20.586653,-105.241422,30,15,23013,372,420,67.9387
4-full,Caribbean,90,360,52015,0,0,0,1,2012,21.239422,-86.737633,30,13,14824,138,48,69.1111
4-full,Las Vegas,90,360,52015,0,9,15,2,2009,36.041226,-115.183411,30,19,47691,410,637,71.6724
4-full,Las Vegas,90,360,52015,4,12,0,8,2009,36.169426,-115.142978,35,18,215558,3016,3055,72.0956
4-full,Las Vegas,90,360,52015,0,11,0,0,2009,36.113775,-115.15273,30,18,61748,153,412,72.9154
4-full,Caribbean,90,360,52015,0,2,0,0,2011,20.616929,-105.231785,30,10,12482,113,134,78.0666
4-full,Las Vegas,90,360,52015,1,25,0,15,2009,36.16985,-115.143425,25,20,140886,1776,1601,78.9285
4-full,Caribbean,90,360,52015,1,2,0,3,2012,20.68672,-105.29261,25,17,48763,60,128,80.5
4-full,Las Vegas,90,360,52015,4,39,3,19,2009,36.107786,-115.056413,25,16,59315,843,998,80.9705
3-full,Las Vegas,90,190,52015,18,65,52,37,2009,36.098976,-115.17598,30,28,1050603,9213,12318,81.2016
4-full,Miami,90,360,52015,1,13,3,4,2012,25.835989,-80.184508,30,11,77537,386,270,84.2058
3-partial,Las Vegas,90,323,52015,5,35,14,13,2009,36.09985,-115.16772,30,25,145567,2404,2578,85.4199
3-partial,Las Vegas,90,368,52015,20,88,29,72,2009,36.14764,-115.15567,35,26,633798,3952,5319,85.4315
4-full,Caribbean,90,360,52015,0,3,0,0,2011,20.89971,-105.412445,30,13,25299,50,44,86.8333
4-full,Caribbean,90,360,52015,0,0,0,0,2012,9.934845,-84.187792,40,19,19649,57,76,87.2857
4-full,Las Vegas,90,360,52015,3,28,0,4,2009,36.137112,-115.152871,35,26,323260,2040,4585,87.3111
4-full,Caribbean,90,360,52015,0,4,0,1,2012,18.288202,-78.340837,30,13,154425,1541,1629,87.438
4-full,Caribbean,90,360,52015,1,1,0,1,2012,21.25672,-86.74537,20,9,37972,140,129,88.1
4-full,Caribbean,90,360,52015,0,8,1,0,2012,18.272911,-78.36708,30,15,212123,3126,2298,88.5135
4-full,Caribbean,90,360,52015,1,2,1,1,2012,14.076776,-60.953781,30,18,21504,30,35,90
4-full,Las Vegas,90,360,52015,0,2,2,1,2009,36.238521,-115.118824,25,13,20281,356,407,90.1428
4-full,Caribbean,90,360,52015,0,6,0,1,2012,18.301996,-78.33797,30,13,51354,582,343,91.3846
4-full,Caribbean,90,360,52015,0,2,1,0,2012,21.254659,-86.745032,30,10,50628,233,191,92.3333
